,IP,Es publica,Esta en whitelist,Score de abuso,Pais,Codigo pais,Mes,Dia,Hora
0,192.168.0.13,False,,0,NaN,,May,3,02:49:05
1,192.168.0.17,False,False,0,NaN,,May,3,22:06:40
